,delta,theta,alpha,beta,gamma1,gamma2
76,0.27872842439605955,0.24342097215532307,0.3469339115075787,0.10267130585896242,0.019643251134443346,0.008602134685775645
77,0.2889064519493668,0.25732654567118046,0.2980559621475361,0.12318667629250774,0.02237608371509446,0.01014828132810416
78,0.3089090347290039,0.25237457689486054,0.3071830094644898,0.0997959609094419,0.02032257493487314,0.011414838670507858
79,0.2661181280452214,0.24289712142408565,0.33260528378272325,0.1285470210936632,0.021133347801613005,0.00869909811534741
80,0.26418205450965343,0.259176943311365,0.31752194079342266,0.12589998618919593,0.024183263730825178,0.009035812583947287
81,0.31494998009135033,0.24705353323136414,0.3120534420013428,0.09254080275362007,0.02099532213171157,0.012406923227542116
82,0.36219497671667134,0.26005738580001975,0.23903102596413414,0.09028313758800614,0.02886159793596785,0.019571874668505393
83,0.3529400797990652,0.26980745769464054,0.2368508885686214,0.09860398912659059,0.026037508263610877,0.015760078553396922
84,0.3461492644703906,0.24844614837480627,0.27955098887500557,0.08625345628546632,0.023608267084573923,0.015991873932880877
85,0.32706545919857244,0.25119004339318385,0.2894992824982513,0.09384386131370609,0.023656476035036823,0.014744877963411536
86,0.3423168601261245,0.2615581390758355,0.2600550531513161,0.09605878443215732,0.024719165103441035,0.015291998904474356
87,0.30195068113215556,0.2582719169911884,0.2958166934711077,0.10837721327940623,0.023952073236177495,0.011631417491380528
88,,,,,,
89,0.3645754058635672,0.30152518727392424,0.2017396144685945,0.09738110723607828,0.023637082515508716,0.011141605251005495
90,0.2297153693009046,0.17904790076944563,0.23479402211366915,0.06880895362473001,0.016474480710290614,0.009721365282494648
91,0.32922376304244,0.28783053252846,0.23975559386114279,0.10600193671416491,0.025195925797258194,0.011992247134912759
92,0.3073662995828866,0.2675370248179362,0.2736212753261309,0.11382862852181795,0.025640882619227152,0.012005886738550478
93,0.2581802616144884,0.1949436667768713,0.13516401383966048,0.0641792682721653,0.01744104891935772,0.009236122551249629
94,0.3001927650045781,0.21728960823799884,0.377904000913813,0.07973097890083279,0.01607704086096159,0.008805611118164268
95,0.2707411281050068,0.21107129699563326,0.41412394520354595,0.08157948151434938,0.01494576791684105,0.0075383799418500845
96,0.27705462087714483,0.21211210194797742,0.40681011880201007,0.07941870326324114,0.01582511916150531,0.008779336046057917
97,0.3137857650240807,0.23329067863013647,0.3390783288707472,0.083765060342338,0.01868253396696424,0.011397633806177199
98,0.29333556727835963,0.22481430258878565,0.3684576703991503,0.08621995210235807,0.01755088795819328,0.009621619225989558
99,0.27580341054695595,0.21642376808299896,0.39394225673660205,0.08674670810963947,0.017564239938686516,0.009519615321393182
100,0.2865556787913013,0.23130097406305325,0.3715545703081568,0.08373025854586795,0.01694692138012997,0.00991159969656046
101,0.2818476366996765,0.21156571502868946,0.39378511199584376,0.08324278521996278,0.01858940042555332,0.01096934945250933
102,0.2947694547581741,0.21729184678549038,0.37167540347198247,0.08431715402290525,0.019885172573608004,0.012060966925099706
103,0.24907441259524143,0.2042735689276949,0.4307239871779713,0.08981227785895723,0.017207647417458373,0.008908103472219969
