,delta_ratio_spin_r,delta_ratio_spin_p,delta_ratio_spin_p_adj,theta_ratio_spin_r,theta_ratio_spin_p,theta_ratio_spin_p_adj,alpha_ratio_spin_r,alpha_ratio_spin_p,alpha_ratio_spin_p_adj,beta_ratio_spin_r,beta_ratio_spin_p,beta_ratio_spin_p_adj,gamma1_ratio_spin_r,gamma1_ratio_spin_p,gamma1_ratio_spin_p_adj,gamma2_ratio_spin_r,gamma2_ratio_spin_p,gamma2_ratio_spin_p_adj
L5 IT_5,-0.13754411956358087,0.7742257742257742,1.0,0.3862330805781961,0.3706293706293706,1.0,-0.19898391083086886,0.7542457542457542,1.0,0.41999124378389396,0.4245754245754246,1.0,0.11944317043965667,0.8171828171828172,1.0,-0.3615158093150305,0.46153846153846156,1.0
L5/6 NP_1,-0.3641792443424793,0.16283716283716285,1.0,-0.5034180298264557,0.055944055944055944,1.0,0.410641672662746,0.11288711288711288,1.0,-0.17867611853590717,0.6013986013986014,1.0,-0.346245663733301,0.16983016983016982,1.0,-0.3084831760687417,0.23876123876123875,1.0
L5/6 NP_2,-0.4187929308413068,0.16683316683316685,1.0,-0.45062486616043945,0.13586413586413587,1.0,0.4797542408901607,0.13486513486513488,1.0,-0.1340990819260935,0.7582417582417582,1.0,-0.41808913850328905,0.16483516483516483,1.0,-0.41409474855116307,0.16183816183816183,1.0
L6 CT_1,-0.37603473383664715,0.16183816183816183,1.0,-0.27341887310116003,0.37162837162837165,1.0,0.48143935783798153,0.04795204795204795,1.0,0.05784790465366263,0.8691308691308691,1.0,-0.3594703902927955,0.2037962037962038,1.0,-0.44055250855454303,0.07292707292707293,1.0
L6 CT_2,0.3143064831930333,0.4745254745254745,1.0,0.44461293573985616,0.1978021978021978,1.0,-0.5620006662967817,0.14485514485514486,1.0,0.12931362710252248,0.7882117882117882,1.0,0.42812016037130735,0.25374625374625376,1.0,0.11077237988594503,0.8301698301698301,1.0
L6 IT Car3_1,-0.07025962830661378,0.8781218781218781,1.0,-0.43463617407101596,0.13986013986013987,1.0,0.30123086049041053,0.43756243756243757,1.0,-0.2881544324757048,0.4155844155844156,1.0,-0.24499016296809595,0.4975024975024975,1.0,0.09585074761075402,0.8231768231768232,1.0
L6 IT_1,0.06773131804551055,0.8311688311688312,1.0,-0.18964611171056092,0.5524475524475524,1.0,-0.0830670187587834,0.8211788211788211,1.0,-0.3981838216167773,0.21678321678321677,1.0,-0.04907412590023665,0.8851148851148851,1.0,0.06577994574921074,0.8421578421578422,1.0
L6 IT_2,-0.4943981722919342,0.14385614385614387,1.0,-0.2246580819533265,0.6143856143856143,1.0,0.5670975313955595,0.12187812187812187,1.0,0.24682843906870452,0.6343656343656343,1.0,-0.3825027721817768,0.3196803196803197,1.0,-0.5299472404681356,0.1068931068931069,1.0
L6 IT_3,-0.1547661265204848,0.3336663336663337,1.0,-0.08680617284798518,0.6523476523476524,1.0,0.18319906051637205,0.26173826173826176,1.0,-0.05204665337007616,0.8031968031968032,1.0,-0.21188427332847476,0.19880119880119881,1.0,-0.1739832658671032,0.25674325674325676,1.0
L6b_1,0.11554638714431974,0.6623376623376623,1.0,-0.08802674320164804,0.7432567432567433,1.0,-0.09305972262623964,0.7632367632367633,1.0,-0.2866992516733774,0.3176823176823177,1.0,0.02795905375089904,0.9280719280719281,1.0,0.024470525163875323,0.949050949050949,1.0
L6b_2,-0.3060629697419808,0.2957042957042957,1.0,-0.44902612695661176,0.10989010989010989,1.0,0.4186301321001081,0.2037962037962038,1.0,-0.2438658042429643,0.5144855144855145,1.0,-0.3639799211852752,0.19480519480519481,1.0,-0.3045722957024538,0.34165834165834164,1.0
L6b_3,-0.03497988022794602,0.945054945054945,1.0,0.49111206762243936,0.1088911088911089,1.0,0.018558801884561608,0.975024975024975,1.0,0.6993575307765024,0.01098901098901099,1.0,0.20524979352365513,0.6443556443556444,1.0,-0.24809971948986195,0.5544455544455544,1.0
Lamp5_1,0.2192392491893665,0.7282717282717283,1.0,0.7678366396728191,0.008991008991008992,1.0,-0.5926209479056637,0.2937062937062937,1.0,0.6912731397092254,0.1038961038961039,1.0,0.5283829794201013,0.2827172827172827,1.0,-0.028136574127174303,0.965034965034965,1.0
Lamp5_2,-0.21239767307278645,0.5864135864135864,1.0,0.25553499016260633,0.48951048951048953,1.0,0.12487629284679798,0.7862137862137862,1.0,0.5143515818918311,0.08091908091908091,1.0,0.00282879857034232,0.99000999000999,1.0,-0.3502234992657805,0.28771228771228774,1.0
Lamp5_Lhx6_1,-0.49880083398333785,0.14585414585414586,1.0,-0.18525069836572028,0.7132867132867133,1.0,0.38302267403199475,0.4305694305694306,1.0,0.21361372346589982,0.6803196803196803,1.0,-0.3450433084708358,0.4485514485514486,1.0,-0.6077528223106636,0.026973026973026972,1.0
Micro-PVM_1,0.615676696686472,0.07392607392607392,1.0,0.632675379349461,0.056943056943056944,1.0,-0.7694142217987248,0.004995004995004995,1.0,0.11605769576741029,0.8521478521478522,1.0,0.6357319881502146,0.05194805194805195,1.0,0.5372755894649833,0.17682317682317683,1.0
Micro-PVM_2,-0.35301653174081166,0.23276723276723277,1.0,-0.5591373092583718,0.026973026973026972,1.0,0.4796845241897041,0.07992007992007992,1.0,-0.14246363923776156,0.6913086913086913,1.0,-0.3929773677553825,0.14685314685314685,1.0,-0.11140762570437968,0.7932067932067932,1.0
OPC_1,0.5298385031471223,0.12087912087912088,1.0,0.6519073078710027,0.016983016983016984,1.0,-0.6811884984751936,0.00999000999000999,1.0,0.2013044014845785,0.6923076923076923,1.0,0.5630065000847981,0.06293706293706294,1.0,0.39701845145071035,0.3276723276723277,1.0
Oligo_1,0.17566369158844758,0.6593406593406593,1.0,0.5219104169833815,0.04495504495504495,1.0,-0.36135075390797483,0.3936063936063936,1.0,0.43554208044419024,0.22777222777222778,1.0,0.3075632678096312,0.38961038961038963,1.0,-0.018014283562667304,0.971028971028971,1.0
Oligo_2,-0.40018884934943905,0.26973026973026976,1.0,0.06881325884494156,0.8831168831168831,1.0,0.40245199181010516,0.3356643356643357,1.0,0.4850454989700472,0.2037962037962038,1.0,-0.23572909450789867,0.5604395604395604,1.0,-0.5134655093499984,0.10989010989010989,1.0
Pax6_1,0.5139980343235162,0.1848151848151848,1.0,0.702576292902124,0.024975024975024976,1.0,-0.784514512464088,0.001998001998001998,0.8491508491508492,0.29259864744931274,0.5794205794205795,1.0,0.6613844579208409,0.03596403596403597,1.0,0.3866172479466742,0.4095904095904096,1.0
Pax6_2,-0.5180548142119626,0.1258741258741259,1.0,-0.3855870822443973,0.3226773226773227,1.0,0.6525199177064421,0.056943056943056944,1.0,0.10320656670720783,0.8521478521478522,1.0,-0.5333719765968397,0.11688311688311688,1.0,-0.3571643641369939,0.4115884115884116,1.0
Pvalb_1,-0.7384414702261622,0.012987012987012988,1.0,-0.41578492257235683,0.4065934065934066,1.0,0.7551722267956964,0.04495504495504495,1.0,0.26997635055736996,0.6733266733266733,1.0,-0.5920121072159971,0.15584415584415584,1.0,-0.7592362781648201,0.01098901098901099,1.0
Pvalb_2,0.12464783004267693,0.7932067932067932,1.0,0.5915307297636629,0.053946053946053944,1.0,-0.5029813609392162,0.23276723276723277,1.0,0.4618401865655336,0.24775224775224775,1.0,0.35560703983970476,0.37162837162837165,1.0,-0.09595825854480464,0.8461538461538461,1.0
Pvalb_3,-0.010948726719742865,0.9600399600399601,1.0,-0.16293532596668575,0.5214785214785215,1.0,0.08660924133604925,0.7452547452547452,1.0,-0.39121715589506795,0.03996003996003996,1.0,-0.1745150109813631,0.4305694305694306,1.0,-0.033676457144130784,0.8891108891108891,1.0
Pvalb_4,-0.39108321441098415,0.23776223776223776,1.0,-0.11980158724578538,0.7282717282717283,1.0,0.5128016280607348,0.10989010989010989,1.0,0.29745936293390207,0.46153846153846156,1.0,-0.3294462289103332,0.3276723276723277,1.0,-0.42317451724420396,0.1848151848151848,1.0
