branch,layer,ctype,correlation,p_value,reject_H0,p_adjusted
within_layer__clr_true__thickness_absolute,l3,Vip,0.35897058012984256,0.24675324675324675,False,0.445036445036445
within_layer__clr_true__thickness_absolute,l4,Astro,-0.3597213733794078,0.15384615384615385,False,0.3470483005366727
within_layer__clr_true__thickness_absolute,l4,Chandelier,-0.20437289672736098,0.46653346653346656,False,0.637376707799243
within_layer__clr_true__thickness_absolute,l4,Endo,0.02103106727150951,0.9070929070929071,False,0.9574447291838597
within_layer__clr_true__thickness_absolute,l4,L2/3 IT,0.36605371836957923,0.04895104895104895,False,0.1737572772055531
within_layer__clr_true__thickness_absolute,l4,L4 IT,0.4306131671776374,0.1978021978021978,False,0.3997252747252747
within_layer__clr_true__thickness_absolute,l4,L5 ET,-0.13322564617797766,0.7502497502497503,False,0.9128032461365794
within_layer__clr_true__thickness_absolute,l4,L5 IT,-0.26574322447644155,0.1048951048951049,False,0.27499527499527504
within_layer__clr_true__thickness_absolute,l4,L5/6 NP,0.4859544958181217,0.05194805194805195,False,0.1737572772055531
within_layer__clr_true__thickness_absolute,l4,Lamp5,0.2069504501494994,0.42857142857142855,False,0.6113445378151261
within_layer__clr_true__thickness_absolute,l4,Lamp5_Lhx6,0.43136711564499514,0.05194805194805195,False,0.1737572772055531
within_layer__clr_true__thickness_absolute,l4,Micro-PVM,-0.4863894200248912,0.030969030969030968,False,0.15810505284189494
