,Layer I,Layer II,Layer III,Layer IV,Layer V,Layer VI
185,0.25406654504565857,0.21374228207762608,0.5774855655286197,0.14732784532841353,0.4001702296575371,0.4955473855338831
187,0.2686492800724451,0.21401113449413187,0.578003482715482,0.11618309354808709,0.3870623711991035,0.49044578345241535
189,0.21436990972784287,0.1758565860243748,0.4756950288879661,0.30831486377526696,0.3007995490432405,0.357866103726826
191,0.21723861954430324,0.15816967066851342,0.425557992988659,0.3952856536016608,0.2598535961392527,0.3513288038931308
193,0.20311318941577777,0.14380835053656413,0.4282587571659409,0.3581391496623206,0.2605087145141911,0.3302825180153348
195,0.2334195996509978,0.1799924881862568,0.48065188761482863,0.2765214583453867,0.33482631127667106,0.38149367810850066
197,0.23431212361748827,0.16756126275583175,0.4685729850744076,0.35948862340988524,0.3012813543615674,0.3808457484971537
199,0.23799118065177555,0.2118461498566566,0.605325964337663,0.20560339190706417,0.37145776269613406,0.39610243041188203
201,0.24290256644142988,0.22910748536590775,0.6198468309539396,0.2080007822866437,0.41873085387304726,0.4803948619908878
203,0.21285944313189764,0.1709524546175434,0.49613024404537226,0.22719305660509526,0.3008653007950156,0.3521203769042311
205,0.21702545764427641,0.2042709492064591,0.558998364628794,0.20136882923663368,0.3663913437185007,0.41122677825289566
207,0.22570779819352282,0.20396916595813228,0.5563485164924695,0.19904493204655963,0.36282039431415536,0.39951209259113796
209,0.23142371921789315,0.2244098069737026,0.6176046017283187,0.20568733632055522,0.4119462393116728,0.46092476082398043
