,Layer I,Layer II,Layer III,Layer IV,Layer V,Layer VI
133,0.10569073952394953,0.0999746695445025,0.28553357773969745,0.09284956630224908,0.19646495835935576,0.2194864885302455
135,0.10643529653210979,0.10187344333626819,0.29687383060869105,0.09351505275270357,0.18912270260758143,0.21217967416264613
137,0.1041189366363727,0.10618381119118131,0.28364553001147824,0.09590072618602065,0.19013021673729086,0.22002077923765628
139,0.11167810963577775,0.10326262111851124,0.27943173648160574,0.08817618588431056,0.1879281347099226,0.22952321216987207
141,0.10962038681688606,0.1062735452705772,0.2859047135562218,0.08852476604765909,0.18446382361897382,0.22521276468968202
143,0.10867335415930057,0.10385404964879742,0.2883998747324426,0.08929549697257815,0.18906016254687694,0.2207170619400043
145,0.11515339258095843,0.10341222239610624,0.2692559644327026,0.08647408891881336,0.1899901580339212,0.2357141736374983
147,0.10451548346699645,0.10315986931173765,0.26940791491602184,0.10945016214761465,0.20356946577298562,0.20989710438464382
149,0.11256955214213088,0.10256753981779383,0.27943455512715765,0.09068313832618634,0.18947613835826693,0.22526907622846454
151,0.11508536384967254,0.10196745264092433,0.28339214169642213,0.09454565561972564,0.18904330553953294,0.21596608065372233
153,0.10440541993995382,0.099392529418903,0.28286915839077564,0.08933153165577802,0.19702539004287964,0.22697597055170976
155,0.11732730341709689,0.09912329117529677,0.26399737765773856,0.08922606921909058,0.19310005702116104,0.23722590150961614
157,0.11719212549244269,0.10363777155264717,0.25563339880868513,0.08905729145984077,0.18985187989890973,0.24462753278747465
159,0.1103001561087096,0.09746110394392124,0.26667804719696686,0.08662523003578225,0.19850210103634128,0.24043336167827875
161,0.12195920259009686,0.10246182399192899,0.27369348848495084,0.09562599290322958,0.18518168990935266,0.22107780212044106
163,0.12852953022992267,0.09949140586734333,0.2671855574187243,0.0765247361826186,0.19924692478095563,0.22902184552043564
165,0.10808385214948242,0.09420965846080001,0.25850202711899256,0.0740018135163685,0.20187342340374415,0.2633292253506124
167,0.11406678955772276,0.09778526992886843,0.25821895443060233,0.06704285109358035,0.20038044570536467,0.2625056892838616
169,0.11527354026979282,0.09747196936520447,0.30234119946354493,0.06615208676735265,0.18413116935740279,0.23463003477670244
171,0.12401359439394931,0.09732899019408504,0.27389808970742396,0.06522428316419361,0.19830961717292916,0.24122542536741887
173,0.11207114985222294,0.09710928128545745,0.28141485588735904,0.06488249225237719,0.19130717535930009,0.2532150453632834
175,0.10647259302445149,0.09926542221553795,0.27937722673793824,0.07092448864606185,0.19608021966768102,0.24788004970832953
