branch,layer,ctype,r_obs,p_value,n_perm_used,p_adjusted,reject_H0
within_layer__clr_true__thickness_absolute,l1,VLMC,-0.3633792384596382,0.6006655574043261,600,0.9826870827102508,False
within_layer__clr_true__thickness_absolute,l2,Astro,-0.054717502754119594,0.6006655574043261,600,0.9826870827102508,False
within_layer__clr_true__thickness_absolute,l2,Chandelier,0.06628782622526981,0.6006655574043261,600,0.9826870827102508,False
within_layer__clr_true__thickness_absolute,l2,Endo,-0.0018172287314671177,0.800332778702163,600,0.9826870827102508,False
within_layer__clr_true__thickness_absolute,l2,L2/3 IT,-0.40380806492629867,0.40099833610648916,600,0.8103508042151968,False
within_layer__clr_true__thickness_absolute,l2,Lamp5,-0.08753975874350027,0.40099833610648916,600,0.8103508042151968,False
within_layer__clr_true__thickness_absolute,l2,Lamp5_Lhx6,-0.3098383071135683,0.20133111480865223,600,0.5579748038982648,False
within_layer__clr_true__thickness_absolute,l2,Micro-PVM,0.47565233455423933,0.6006655574043261,600,0.9826870827102508,False
within_layer__clr_true__thickness_absolute,l2,OPC,0.02861908983710333,0.20133111480865223,600,0.5579748038982648,False
within_layer__clr_true__thickness_absolute,l2,Pax6,0.6584909521871631,0.0016638935108153079,600,0.010087354409317803,True
within_layer__clr_true__thickness_absolute,l2,Pvalb,-0.4385247105432436,0.40099833610648916,600,0.8103508042151968,False
within_layer__clr_true__thickness_absolute,l2,Sncg,0.5552886041265883,0.0016638935108153079,600,0.010087354409317803,True
within_layer__clr_true__thickness_absolute,l2,Sst,-0.3669862646374239,0.40099833610648916,600,0.8103508042151968,False
within_layer__clr_true__thickness_absolute,l2,Vip,-0.07433792271513322,0.40099833610648916,600,0.8103508042151968,False
within_layer__clr_true__thickness_absolute,l3,Astro,0.2905529341472498,0.800332778702163,600,0.9826870827102508,False
within_layer__clr_true__thickness_absolute,l3,Chandelier,0.26308773428432947,0.800332778702163,600,0.9826870827102508,False
within_layer__clr_true__thickness_absolute,l3,Endo,0.18553701632362615,0.6006655574043261,600,0.9826870827102508,False
within_layer__clr_true__thickness_absolute,l3,L2/3 IT,-0.21616598857952649,0.20133111480865223,600,0.5579748038982648,False
within_layer__clr_true__thickness_absolute,l3,L4 IT,-0.519865343452803,0.800332778702163,600,0.9826870827102508,False
within_layer__clr_true__thickness_absolute,l3,L5 ET,-0.25023389567829085,0.20133111480865223,600,0.5579748038982648,False
within_layer__clr_true__thickness_absolute,l3,L5 IT,-0.489085560296198,0.40099833610648916,600,0.8103508042151968,False
within_layer__clr_true__thickness_absolute,l3,L5/6 NP,-0.33469722885209935,0.20133111480865223,600,0.5579748038982648,False
within_layer__clr_true__thickness_absolute,l3,L6 CT,-0.35934663902963127,0.20133111480865223,600,0.5579748038982648,False
within_layer__clr_true__thickness_absolute,l3,L6 IT,-0.5857183381563035,0.20133111480865223,600,0.5579748038982648,False
within_layer__clr_true__thickness_absolute,l3,L6 IT Car3,-0.21567402088363877,0.20133111480865223,600,0.5579748038982648,False
within_layer__clr_true__thickness_absolute,l3,L6b,-0.26370880655108286,0.20133111480865223,600,0.5579748038982648,False
within_layer__clr_true__thickness_absolute,l3,Lamp5,0.07403667747562762,0.40099833610648916,600,0.8103508042151968,False
within_layer__clr_true__thickness_absolute,l3,Lamp5_Lhx6,-0.2662278554560362,0.20133111480865223,600,0.5579748038982648,False
within_layer__clr_true__thickness_absolute,l3,Micro-PVM,0.4248054940384732,0.800332778702163,600,0.9826870827102508,False
within_layer__clr_true__thickness_absolute,l3,OPC,0.05849372651423568,0.800332778702163,600,0.9826870827102508,False
within_layer__clr_true__thickness_absolute,l3,Oligo,-0.09626193139787657,0.20133111480865223,600,0.5579748038982648,False
within_layer__clr_true__thickness_absolute,l3,Pax6,0.4189250911033485,0.800332778702163,600,0.9826870827102508,False
within_layer__clr_true__thickness_absolute,l3,Pvalb,-0.44540425476650347,1.0,600,1.0,False
within_layer__clr_true__thickness_absolute,l3,Sncg,0.28983166425901713,0.40099833610648916,600,0.8103508042151968,False
within_layer__clr_true__thickness_absolute,l3,Sst,-0.1053170620243445,0.20133111480865223,600,0.5579748038982648,False
within_layer__clr_true__thickness_absolute,l3,Vip,0.35897058012984256,0.0016638935108153079,600,0.010087354409317803,True
within_layer__clr_true__thickness_absolute,l4,Astro,-0.3597213733794078,1.0,600,1.0,False
within_layer__clr_true__thickness_absolute,l4,Chandelier,-0.20437289672736098,1.0,600,1.0,False
within_layer__clr_true__thickness_absolute,l4,Endo,0.02103106727150951,1.0,600,1.0,False
within_layer__clr_true__thickness_absolute,l4,L2/3 IT,0.36605371836957923,0.0016638935108153079,600,0.010087354409317803,True
within_layer__clr_true__thickness_absolute,l4,L4 IT,0.4306131671776374,0.0016638935108153079,600,0.010087354409317803,True
within_layer__clr_true__thickness_absolute,l4,L5 ET,-0.13322564617797766,0.800332778702163,600,0.9826870827102508,False
within_layer__clr_true__thickness_absolute,l4,L5 IT,-0.26574322447644155,1.0,600,1.0,False
within_layer__clr_true__thickness_absolute,l4,L5/6 NP,0.4859544958181217,0.0016638935108153079,600,0.010087354409317803,True
