layer,layer_label,ctype,class,mean_abs_shap,mean_signed_shap,relative_contribution,n_roi,rank
l4,Layer IV,L5/6 NP,Excitatory,0.0032194519643715673,-0.0002888660116601629,0.04615368814216142,105,10
l4,Layer IV,L4 IT,Excitatory,0.003209540319611172,-0.0009232202841396749,0.046011595958053784,105,11
l4,Layer IV,Sst,Inhibitory,0.0028255707130450153,0.00036434157061318183,0.04050705242901807,105,12
l4,Layer IV,Lamp5,Inhibitory,0.0027967750050249965,-0.0011907269269455737,0.04009424051491079,105,13
l4,Layer IV,Astro,Non-neuron,0.0024785569738109566,-0.00029606626877834446,0.035532303906941475,105,14
l4,Layer IV,Sncg,Inhibitory,0.0023816104779398185,-0.0004248419371539818,0.03414249024100431,105,15
l4,Layer IV,L2/3 IT,Excitatory,0.0009715223795700562,-0.0005067105115430404,0.013927631605014342,105,16
l4,Layer IV,Pvalb,Inhibitory,0.0005937180947227323,-3.6117578644655954e-05,0.008511473409587004,105,17
l4,Layer IV,Endo,Non-neuron,0.00048723954953280727,0.00012978558270972473,0.006985009395552204,105,18
l5,Layer V,Chandelier,Inhibitory,0.014407198832411957,-0.0013081534538094853,0.17885009211327813,105,1
l5,Layer V,Pvalb,Inhibitory,0.008464337128530248,0.0008372817889584092,0.10507576751906579,105,2
l5,Layer V,L6 CT,Excitatory,0.007433522781285119,-0.00025339365940153205,0.09227930075956488,105,3
l5,Layer V,L5/6 NP,Excitatory,0.006603656748351847,-0.00026399831773433883,0.0819773941808973,105,4
l5,Layer V,Sst,Inhibitory,0.006480014582093018,0.00013235255325630193,0.08044250783125326,105,5
l5,Layer V,Lamp5_Lhx6,Inhibitory,0.006029840269700437,0.0011822148705593592,0.07485407123264726,105,6
l5,Layer V,OPC,Non-neuron,0.004932176898861313,-0.0006388425965276305,0.06122774475047969,105,7
l5,Layer V,L6 IT,Excitatory,0.004755083091756446,2.3313074041786206e-05,0.05902931297468292,105,8
l5,Layer V,L4 IT,Excitatory,0.0037232773753084897,0.000681110547905249,0.046220539418051876,105,9
l5,Layer V,Endo,Non-neuron,0.0032020745580095345,6.076278678207666e-05,0.03975035926936766,105,10
l5,Layer V,Vip,Inhibitory,0.0029376212702834194,-0.00035198159465893615,0.03646745220189043,105,11
