phenotype,outcome,feature,pearson_r,spin_p,spin_q_bh,n_valid_spins
enigma,epilepsy_ltle,L5 ET,-0.17021241537025364,0.7222777222777222,0.9472799927345381,1000
enigma,epilepsy_ltle,L5 IT,0.2083143824699395,0.4005994005994006,0.8329170829170829,1000
enigma,epilepsy_ltle,L5/6 NP,0.2068491324207802,0.3986013986013986,0.8329170829170829,1000
enigma,epilepsy_ltle,L6 CT,0.21026417184551346,0.5544455544455544,0.8501498501498501,1000
enigma,epilepsy_ltle,L6 IT,0.0624829614544819,0.8531468531468531,0.9472799927345381,1000
enigma,epilepsy_ltle,L6 IT Car3,0.5903699965623197,0.012987012987012988,0.09956709956709958,1000
enigma,epilepsy_ltle,L6b,0.5674425019492769,0.012987012987012988,0.09956709956709958,1000
enigma,epilepsy_ltle,Lamp5,-0.004111713947732905,0.991008991008991,0.991008991008991,1000
enigma,epilepsy_ltle,Lamp5_Lhx6,0.11310723611364448,0.7682317682317682,0.9472799927345381,1000
enigma,epilepsy_ltle,Micro-PVM,0.437124835049596,0.21578421578421578,0.6462287712287712,1000
enigma,epilepsy_ltle,OPC,0.290172839713914,0.43456543456543456,0.8329170829170829,1000
enigma,epilepsy_ltle,Oligo,-0.5689263997657923,0.012987012987012988,0.09956709956709958,1000
enigma,epilepsy_ltle,Pax6,0.2126808738352371,0.3826173826173826,0.8329170829170829,1000
enigma,epilepsy_ltle,Pvalb,-0.41733139783673273,0.16783216783216784,0.6433566433566434,1000
enigma,epilepsy_ltle,Sncg,0.4716013507384827,0.14985014985014986,0.6433566433566434,1000
enigma,epilepsy_ltle,Sst,0.5399639762346349,0.017982017982017984,0.1033966033966034,1000
enigma,epilepsy_ltle,VLMC,0.03178774106171782,0.906093906093906,0.9472799927345381,1000
enigma,epilepsy_ltle,Vip,0.16243230984857243,0.48951048951048953,0.8501498501498501,1000
enigma,depression,Astro,-0.21661416832190658,0.5294705294705294,0.7740384615384616,1000
enigma,depression,Chandelier,-0.45892466535825693,0.14085914085914086,0.40497002997003,1000
enigma,depression,Endo,-0.04285157822555637,0.8711288711288712,0.9107256379983653,1000
enigma,depression,L2/3 IT,0.3129803923446451,0.24775224775224775,0.5514485514485514,1000
enigma,depression,L4 IT,0.13942720782547505,0.7222777222777222,0.8743361901256638,1000
enigma,depression,L5 ET,0.09130722559410033,0.8461538461538461,0.9107256379983653,1000
enigma,depression,L5 IT,-0.3830582147935017,0.09090909090909091,0.40497002997003,1000
enigma,depression,L5/6 NP,0.11131306977998104,0.6193806193806194,0.7914307914307914,1000
enigma,depression,L6 CT,0.0005331652862045375,1.0,1.0,1000
enigma,depression,L6 IT,-0.24531341892237837,0.34165834165834164,0.6504264965803428,1000
enigma,depression,L6 IT Car3,-0.18780591930939333,0.5124875124875125,0.7740384615384616,1000
enigma,depression,L6b,-0.35970214688922175,0.13486513486513488,0.40497002997003,1000
enigma,depression,Lamp5,-0.2191595333832423,0.5934065934065934,0.7914307914307914,1000
enigma,depression,Lamp5_Lhx6,-0.0857839601219553,0.8001998001998002,0.9107256379983653,1000
enigma,depression,Micro-PVM,-0.47520028955963967,0.10989010989010989,0.40497002997003,1000
enigma,depression,OPC,-0.42232703712655983,0.17682317682317683,0.4518814518814519,1000
enigma,depression,Oligo,0.3224331323506663,0.26373626373626374,0.5514485514485514,1000
enigma,depression,Pax6,-0.3888877752028245,0.08291708291708291,0.40497002997003,1000
enigma,depression,Pvalb,0.19488329289818243,0.5384615384615384,0.7740384615384616,1000
enigma,depression,Sncg,-0.5272025206692827,0.06993006993006994,0.40497002997003,1000
enigma,depression,Sst,-0.46407986108408966,0.04195804195804196,0.40497002997003,1000
