layer,layer_label,fold,ctype,mean_abs_shap,relative_contribution
l4,Layer IV,3,Pvalb,0.0006151820741494971,0.008400646464899183
l4,Layer IV,3,Sncg,0.0020883916260783556,0.02851812571943833
l4,Layer IV,3,Sst,0.004460978282611706,0.06091708945132091
l4,Layer IV,3,Vip,0.007242176844488286,0.09889587142300343
l4,Layer IV,4,Astro,0.0049877116669083,0.03755570097077213
l4,Layer IV,4,Chandelier,0.013687207961294887,0.10305982455433164
l4,Layer IV,4,Endo,0.0006308187222179116,0.004749841386293595
l4,Layer IV,4,L2/3 IT,0.0021137372932654975,0.01591569260976444
l4,Layer IV,4,L4 IT,0.007807973240335976,0.058791270984518154
l4,Layer IV,4,L5 ET,0.007872457146108756,0.05927681193883943
l4,Layer IV,4,L5 IT,0.0020030658379486125,0.015082375778429344
l4,Layer IV,4,L5/6 NP,0.0035965616409823647,0.027080834364952178
l4,Layer IV,4,Lamp5,0.0010757789748203394,0.008100234373419576
l4,Layer IV,4,Lamp5_Lhx6,0.00893015234115818,0.06724088186033134
l4,Layer IV,4,Micro-PVM,0.008469699019729802,0.06377383155642272
l4,Layer IV,4,OPC,0.013163167011468363,0.09911398194704962
