layer,layer_label,fold,ctype,mean_abs_shap,relative_contribution
l5,Layer V,5,L5 ET,0.0003007144911745518,0.0033227432841702875
l5,Layer V,5,L5 IT,0.006175512283595058,0.06823629245960025
l5,Layer V,5,L5/6 NP,0.007181234779368663,0.07934901820659786
l5,Layer V,5,L6 CT,0.008420816133617273,0.09304576625463751
l5,Layer V,5,L6 IT,0.0058782110869026,0.06495126435594213
l5,Layer V,5,L6 IT Car3,0.0008972567303885562,0.009914233808388762
l5,Layer V,5,L6b,0.00018110611011322314,0.002001131068710672
l5,Layer V,5,Lamp5,0.0020631648905794736,0.022796930262764182
l5,Layer V,5,Lamp5_Lhx6,0.006498305116206517,0.07180299026837147
l5,Layer V,5,Micro-PVM,0.0003660563982727678,0.004044738363747117
l5,Layer V,5,OPC,0.007708940789648839,0.08517990315938505
