,22q,adhd,asd,epilepsy_gge,epilepsy_rtle,epilepsy_ltle,depression,ocd,schizophrenia,bipolar,obesity,schizotypy,parkinson
143,0.2683868207549509,0.07294106303589033,-0.055237951081682876,-0.12574878332054448,-0.24324119381187914,-0.2450892787376229,-0.060498192340346785,-0.12700712614727747,-0.3658773246287121,-0.25910772831682827,-0.1261220366856445,-0.003830773552821788,-0.1790936901980205
145,0.4448599959283029,0.02302449473113197,-0.09948100304339672,-0.1104574423792455,-0.3146844873584915,-0.28605915267924537,-0.03376714572792455,-0.043453158830188604,-0.38973926794339736,-0.23176654292452797,-0.1527654777849052,-0.01585560536416982,-0.12034542956226431
147,0.3497073421111115,0.05217559456296284,-0.08202926489629604,-0.05548905566296294,-0.386789831888888,-0.5230126997037036,-0.020144395196296277,-0.08989756977037051,-0.282330753814815,-0.19925952688888954,-0.11787708304814817,-0.003058531432111109,-0.15376780751851843
149,0.3749370406783917,0.038818432258542625,-0.07416756929145737,-0.06543306891206047,-0.39497334572864334,-0.4982810934673368,-0.018600281494974898,-0.07775216265577903,-0.2802427102010045,-0.1886134791959798,-0.12397693745477345,-0.00837068022311558,-0.14689669798994984
151,0.375297489237473,0.052574706407407384,-0.07186046331764696,-0.04764359003267978,-0.35267048912854043,-0.46888455527233025,-0.01807297839623094,-0.0860291294488019,-0.28229267187363843,-0.18457420344226583,-0.11035804312200462,-0.0020867212697167747,-0.15062997721132862
153,0.34941062079575574,0.03679914577267878,-0.05812180797586198,-0.027419736158620648,-0.30871340307692247,-0.4520444489389916,-0.037190039347480115,-0.09180505828912458,-0.30231333058355503,-0.19669595360742687,-0.12824649368700294,-0.002328680330847481,-0.1590375250663127
155,0.5691764676296301,0.025812350435851828,-0.03637717753835557,-0.04519989292177793,-0.37332635354074123,-0.3612006989777767,0.021627900067703744,-0.026707180601481473,-0.2762355026222224,-0.11758082418370379,-0.07664464228444438,-0.011696703299555565,-0.09815557306518513
157,0.6161093886315794,0.03271787330578949,-0.06387587251578936,-0.017176086819210536,-0.324545594078948,-0.29241214686052636,0.007120358013421058,-0.03197244562631575,-0.2980522172105266,-0.1348699477999997,-0.07909401556842108,-0.008993821901578936,-0.10321914986315829
159,0.5552799295955053,0.05380411972359551,-0.07548879645168535,-0.0010471000368089671,-0.3472633677078646,-0.3446163453707871,0.01906964229442702,-0.03285596734382024,-0.2702139208988763,-0.1265128949865167,-0.060783275743820225,-0.008711887197528077,-0.11810177273932604
161,0.5304089237086085,0.038765013031788045,-0.04992483494693163,-0.045988758438631254,-0.377540395121412,-0.3773081301324504,0.019639004985651208,-0.030637827578366434,-0.26131121286975706,-0.1198051138432669,-0.07496229678366435,-0.012913470650551897,-0.10738166238410601
163,0.5338065233472811,-0.002506638053849372,-0.12046136635983276,-0.06559340255648535,-0.12366090155648535,0.0007781729041840931,-0.07495810243514651,-0.04621802915481171,-0.37339107807531374,-0.1825253362761505,-0.1745155760669453,0.0034731448776569034,-0.057533289456066845
165,0.674519436666666,0.0070606975614583315,-0.05644219856250002,-0.0013030444062499859,-0.02430740603125002,0.05387849152499998,-0.0820311973229167,-0.07547000141666671,-0.4048815494791671,-0.20531175968750015,-0.1588408638541667,0.001230097185416667,-0.07258102335416669
167,0.7398478410769245,-0.004923052882221531,-0.057837836615384525,-0.02969677264923078,-0.04725406145384622,0.04370484815423082,-0.09033847450769228,-0.06948959250000004,-0.39752347423076906,-0.21728336084615368,-0.15497420812307688,-0.0025996477790769215,-0.04995601101538462
169,0.309342689646739,0.009904042426956527,-0.11488178063586968,-0.04904881125543477,-0.07097051904347829,-0.07324284116413046,-0.06035601772282605,-0.04072643515760872,-0.41872421505434804,-0.20138074407608703,-0.20442980668478264,-0.0004626642234239138,-0.060824998548913045
171,0.7714972599431827,-0.007535762043749999,-0.07504753755113634,-0.07925431752272726,-0.09598081439772725,0.04127781685795457,-0.08715597998863646,-0.05732952803409089,-0.38796201323863627,-0.1876600588636361,-0.17001871477272723,-0.0050605121048295405,-0.045613666732954555
173,0.7354543840277773,-0.016147513329722224,-0.053531110500463,-0.09680293337499997,-0.11778586021759249,-0.01346983246759265,-0.08782248860648151,-0.06491673661111108,-0.3889028169444444,-0.21664551375000038,-0.1729450008333337,-0.008888190977314808,-0.0350079469675926
175,0.14807392251515153,-0.016652481957142865,0.032254577041558395,0.027588550129870135,-0.04600758770303037,-0.13992750518181815,-0.08882795994372275,-0.06760397631168825,-0.30814930463203444,-0.1551738248484849,-0.15673662515151515,-0.006272595045231609,-0.16608022593073568
