,Astro,Chandelier,Endo,L2/3 IT,L4 IT,L5 ET,L5 IT,L5/6 NP,L6 CT,L6 IT,L6 IT Car3,L6b,Lamp5,Lamp5_Lhx6,Micro-PVM,OPC,Oligo,Pax6,Pvalb,Sncg,Sst,VLMC,Vip
21,1.249031431831579,-1.7621189579728265,-4.349643148449758,2.7795545877772785,2.327327318750527,-0.4335377076948257,2.0113167811350805,1.03821742248424,0.7443691481884747,1.064128491306164,-0.3819899965944895,0.6625539120084687,-0.2586630370507663,-1.2813671840937513,-1.4742568595002625,-0.5128698781785088,1.584596559488919,-1.7131259510875099,-0.025169697722224882,-1.0477567057153516,0.7651201017128662,-1.0173548354656914,0.03163820484236446
23,1.4235880503273823,-1.8814614955581632,-4.674920950438028,2.664134141519029,2.0505689281183,-0.07318849106348502,1.8437404471439787,0.9589018521330726,0.8445554934186577,1.1450219278472877,-0.4703104133948415,0.6272347544862247,-0.16728185617914892,-1.121301548403303,-1.6349057053728027,-0.36971960126974235,1.908129908432473,-1.6951692885563237,0.0593358403213573,-1.2013097500533592,0.7305969560656056,-0.9223812401688676,-0.043857959355305454
25,1.4371428864991698,-1.9096474265655523,-4.574305412426789,2.637948117474636,1.996422519075669,-0.07316233160056917,1.8013599798471591,0.9382088011958647,0.8177921632427947,1.1167494660295825,-0.494514482054055,0.577092590256469,-0.15414974846661433,-1.1029849693294445,-1.5886647637411349,-0.36492673919868235,1.9426411365137906,-1.687878989110045,0.0634219619115628,-1.2475465355195094,0.7100847903276342,-0.7927273966134853,-0.04835561774846031
27,1.136257421584674,-1.813395093155778,-4.331093949491874,2.733131724938107,2.332727378039773,-0.5776036271969964,2.032430949374965,1.0889652670630046,0.6805910888861733,1.066664022143323,-0.24757165954831972,0.7272708355886857,-0.29133923165306364,-1.183189374989575,-1.5225598141927659,-0.5425595668789045,1.3944201621082097,-1.6691154355468756,-0.0846399216307745,-0.9610193661494693,0.8262814592266334,-0.8615474531570912,0.06689418463796937
29,1.4160222798967812,-1.9162543558531109,-4.247644407234548,2.8499490001105494,2.1442675595231533,-0.2361085125343756,1.830764213001081,0.8502834618761455,0.7741340806959602,1.0948068116994967,-0.10916087682628284,0.6418187953803818,-0.23001601587606935,-1.2742755391056448,-1.7938047080873734,-0.3500743798461965,1.6058477442982588,-1.7993751663996935,-0.0732086940684269,-1.0202628180564206,0.6984217332136162,-0.7965437455585143,-0.059586460248759465
31,1.3241862224913858,-1.8533045809197128,-4.382209160157941,2.748638878998662,2.182639779271711,-0.3542479414612387,1.8951935166840888,0.9483488371810145,0.774071704151166,1.1234589933702854,-0.07248279311996697,0.6754311698522528,-0.2706095568638345,-1.3586225194175423,-1.2884871536762397,-0.3725087296664835,1.5548265850980831,-1.7862655008820107,-0.09436655623346013,-1.037450553316118,0.671000587682443,-0.9619163000578856,-0.06532492900867304
33,1.3617048751214456,-1.9016416615534508,-4.470716493989603,2.7775005173260077,2.116908174481229,-0.2958222785301148,1.8519116115867087,0.8784631552635864,0.7523969324941513,1.1189082159558228,0.025976721931281865,0.6552535769629135,-0.28376306834036047,-1.3388078276428228,-1.3942983204122203,-0.35270122567358886,1.4879483103071478,-1.7810702702555306,-0.10841483652295736,-1.0302832698462039,0.7036583939875096,-0.7116009414654112,-0.06151029118554607
35,1.2071436872069987,-1.8222714956450812,-4.431326092752762,2.727393580519251,2.25970758014049,-0.5123119980451651,1.939410338812574,1.027383444334018,0.7050016938512123,1.0808222032666075,-0.06292323963125579,0.665376159101231,-0.2774703196902557,-1.2710985362843443,-1.2818585215963658,-0.4451615216324383,1.3798633067375485,-1.7407704311661734,-0.12034486069364814,-0.9634127549519507,0.7463211202164235,-0.8501096922867015,0.04063635018977507
37,1.367834117693489,-2.042558932929891,-4.392500786987859,2.7192168082330612,2.1397588949727333,-0.30252894770598804,1.8788674675253287,0.8921811232257997,0.7576916424411966,1.0930591268363288,0.17094274303467616,0.6790057471560145,-0.36296953854455083,-1.316379841138417,-1.5753139491575876,-0.37463362027462654,1.4833516776744577,-1.7650396929319365,-0.10583056969556104,-1.1023622866506733,0.7883738091026933,-0.5694395487122472,-0.06072544316644368
39,1.3778369725810697,-1.9634397763688787,-4.245756457621285,2.769988554477803,2.1165109473339694,-0.27222539106313803,1.8617204067395483,0.8387641438593927,0.7183578435323987,1.0450245441867891,-0.02864811967149361,0.6050901023304469,-0.3055576746329063,-1.28795169415167,-1.6842746049464763,-0.44642087397309727,1.5597998390711592,-1.6835824579478835,-0.02900587592998427,-1.1555667124288425,0.816295974221362,-0.6186091845614401,0.011649494963152485
41,1.1555927293883648,-1.853740603092799,-3.866359236483744,2.6051403181090818,2.229305246780953,-0.5283412795532039,2.020755866318426,1.064781361019199,0.6789814697891643,1.053092466384304,-0.30688479076477027,0.8016032268681377,-0.3667125197669501,-1.211592209755712,-1.6230844134802735,-0.4909101660261692,1.1946938211756963,-1.6485007936822207,-0.10098318683571517,-0.9448968202955363,0.8400349944977892,-0.7034748516842457,0.0014993710902393431
43,1.1895995809510462,-1.9568705178385848,-4.280436443253365,2.627774683964073,2.239889306569253,-0.45398746441356597,1.9320882910959551,1.0979625843456184,0.7900684681493564,1.152290362311975,0.21935209814446033,0.7857697379547512,-0.411711936629926,-1.2229632236594608,-1.3855739725422636,-0.44937689854165885,1.3900648753041467,-1.7984668282725096,-0.173133448766988,-1.033722850878882,0.811123865555607,-0.9887571882173072,-0.08098308133172694
45,1.1332606193612,-1.9096943152684807,-4.3378896307128345,2.6618962760466305,2.2890772855125174,-0.4946885453788097,1.9867138027326052,1.1607750374077161,0.7653232271971642,1.1484745853558955,0.06415981015102101,0.8098293588176166,-0.3670085737208062,-1.171562511760957,-1.392804986547171,-0.4998460594434153,1.3741849079909043,-1.7601406197985625,-0.1445652154056516,-1.0231194753233295,0.8361430346482446,-1.0870127510134289,-0.04150526084808881
47,1.128375112992983,-1.8825256443522536,-4.1304140883514515,2.655848557224016,2.283570267084877,-0.5041325142219302,2.029928924701088,1.130152204888558,0.7122307607987679,1.0750791531837547,-0.11486467708394432,0.7994802918929542,-0.3662235608896598,-1.1815692654911407,-1.4750697483984858,-0.4774155022497384,1.2461617423114455,-1.730263063521,-0.13352888093015025,-0.9832674090914217,0.8417123978263801,-0.9032538356801068,-0.020011222643547377
49,1.1657357151047165,-1.984385733014837,-4.016286160578464,2.549883317606797,2.2027767385989843,-0.3830164183918354,1.9843301769164405,1.2031614600961822,0.8229875612310407,1.103435259008735,0.09565175901894474,0.8103437643681111,-0.4325870029138841,-1.1224312460825248,-1.4302536350878912,-0.4364250805285934,1.1470523423624757,-1.7873982456269664,-0.18308155414521288,-1.0110174918678307,0.8318857216176121,-0.9771228808042629,-0.1532383668877335
51,1.2318059626052356,-1.9531732792985954,-4.328591805552784,2.633307462388805,2.2059586116926146,-0.44824014453953254,1.8866545762417655,1.0545796556037894,0.7756904118591432,1.1391450279699606,0.2541669736157002,0.7552066843657976,-0.3874292997566613,-1.2454382472490781,-1.3338960006256526,-0.4114109128557537,1.3404414804870375,-1.7876912665462452,-0.18055459986529776,-1.0118002306671254,0.8003226296176211,-0.9304762937501518,-0.05857739574058396
53,1.3806237639803265,-2.018822968783171,-3.802236378606964,2.6769571231578126,2.0415596047523965,-0.13951239694531914,1.791345319095043,0.87392210106507,0.7706141775443931,1.0590912537020882,-0.3451512786997073,0.528084666148779,-0.24677662805189104,-1.213848500481796,-1.7340171147498857,-0.46344934783572533,1.843358728599509,-1.70055774388962,0.05751029786711204,-1.318090621288639,0.7207564726138336,-0.7081807569565362,-0.053179772237123224
