,Astro,Chandelier,Endo,L2/3 IT,L4 IT,L5 ET,L5 IT,L5/6 NP,L6 CT,L6 IT,L6 IT Car3,L6b,Lamp5,Lamp5_Lhx6,Micro-PVM,OPC,Oligo,Pax6,Pvalb,Sncg,Sst,Sst Chodl,VLMC,Vip
55,50.95388285565741,1.5381939931442834,0.1614779935428291,155.03359157267974,85.62378940472699,13.366279020283148,69.82734671367825,29.760760499624023,27.168063688712245,36.29832945806777,7.80956152334413,21.046930391576076,8.787496724248118,4.2161860638801185,2.9084837183457117,8.10930119240842,84.2910301663732,2.105881585811154,12.90801973248177,3.0194174705811414,23.123645110076378,0.012483434948198499,4.738456338794519,9.542561898029607
57,55.36301861337267,1.5018979567540398,0.24604998768062428,184.4640641470447,104.91636056332894,14.422703114703454,78.80136478633959,33.72400719013663,29.58829765047558,38.286268437870795,9.866030617297698,22.96928229238806,9.575404600652925,4.399464898911188,2.462444697908843,7.91041866687709,89.31552403990663,2.417733281617005,14.380867269177237,3.251970351447276,26.67964805725692,0.010205157374003883,6.401810611589111,10.908299982326664
59,54.21267961233594,1.3609525285095374,0.2580527189233256,156.28287947423578,79.66419172804936,15.273848634236042,69.87298393735317,31.04340468399277,27.91150845896751,37.86760387632296,8.157504774407732,21.858876671524413,9.074947047322906,4.318329605833605,2.5101629523641176,8.015188027967168,95.38229145174252,2.2169557667775726,13.548576650968368,2.846916060824663,23.269158114971017,0.011425530393788649,5.183573975938041,9.41545866337082
61,55.225285164882834,1.7708400538297075,0.15368914233174347,208.3237628081651,126.90481691768228,11.037444734339694,90.3912196171993,33.664496737082786,28.884026493879993,37.91196014951501,13.501896191306093,24.46420068573812,9.433937237405393,4.206448854788098,2.7834062891504106,8.022804749539457,64.9253315234589,2.680026589658537,13.88105891639323,4.072150021081743,31.938268408970753,0.01253919433929809,7.2951556503167865,13.330685405843633
63,49.382553661963776,1.7884468993474503,0.1280671716506719,174.56913702382192,92.7333273653758,11.210939811415876,71.9658223641635,26.90127641792576,26.179799805427606,35.23751998567298,9.403419783268294,20.671188353722673,8.6722917375606,3.9622308078793362,2.6347476131246386,7.831399087057684,64.13167793472367,2.1994502880045625,12.415489460561195,3.543210957319752,25.166991238295775,0.013207214707028542,4.505203354626931,10.784594942129614
65,56.17525774908596,1.5356129052785314,0.17213529329913535,217.03897702083228,133.28107527447762,12.485773631414697,109.9727037525999,40.60364924823868,29.761513427385704,42.53404223077161,12.824326322085595,27.850576613583712,10.392134626431496,4.8707697734847715,2.0054622251384857,7.770814163270553,65.39037665421442,3.0203498495820096,15.371908079916835,4.5523120646302155,34.52259230314734,0.010915161227317925,7.941504773267978,14.998883068338518
67,56.07168864397373,1.4573201975883048,0.26379715474762816,175.9170443302603,96.0955087197177,14.630860461592931,81.05720742125331,33.472372662565924,28.998199022447643,38.84027484056382,9.801456399647108,23.915509277441902,9.614958946763899,4.47098298260409,2.5088536648234063,8.059408086169185,87.2469906220441,2.4928830936973507,14.220672010572004,3.3656746971476634,27.053811757484684,0.012028998674663711,6.266446651886994,11.162069828810619
69,43.815841687822235,1.6024269405160132,0.1552044710642068,179.57736219698748,122.78272782654427,7.036815486532241,87.8748731909294,28.808513596443714,23.40355564229803,35.26499441431833,13.264006342787777,20.7828024230653,8.001645458407873,3.5877578299628157,3.0145507971781638,8.430337520184105,42.3545505277104,2.5810346847786145,11.738344546959453,4.373192711894154,29.682170858676727,0.007401479454093867,5.622641944715037,13.418736111830198
71,61.75025304232199,1.6295637209464142,0.174125843408048,231.87179581840962,154.88466903640125,11.24369918561503,107.47666610197865,41.53563719279539,30.580305591167342,43.738248963146646,17.11733727953827,28.776133476940522,10.24031975785159,5.051217766903643,3.2214986915229242,9.14935646030815,71.06951418399748,3.2689102868608355,15.826067385945109,4.725866460599911,37.56566730481154,0.007112369422746003,9.113802324603155,16.036448944544954
73,58.383025162369236,1.676736734682546,0.15358656998565146,206.5717150434841,142.408115819561,9.769968798459864,94.96677480513266,36.586485942857735,29.923918772803912,39.44309665801906,17.75763775833881,27.615926423531956,9.377887861933617,4.303272408424158,3.2921280645984194,8.950368652812992,58.07578335392273,3.0318966065069386,14.003935645860466,4.576025559510566,35.200333457668975,0.012312978612057995,7.728552554879328,14.826563064643043
75,58.2116767194691,1.7205959177771692,0.132348279397887,217.44924774059984,149.0064258076514,9.530667416104594,107.13301592378187,39.507739296832675,28.25769274687437,44.23853287257411,15.601877640267029,26.775653987496067,9.586619745083443,4.7970462291311575,3.198644798735795,9.212233985104545,69.41745785878409,3.0759095040104243,15.449096251941333,4.774282132344069,36.25673806366516,0.009305528011855826,5.588246700639581,16.05283830885115
77,48.28332607688608,1.5729962946640506,0.1565684231314866,182.36393798368468,122.74902044802083,8.214304997291832,88.62513523277106,31.70970652289471,26.184993349657137,36.02775511816637,16.488258391140334,25.251888846521638,8.38708575134945,3.749711805002921,2.894924981342079,8.55001624248344,41.115235555088695,2.7888414814773927,12.059250627177796,4.411356349444135,32.71256879026514,0.010429984006276939,8.343644059468177,13.846496048205577
