phenotype,outcome,feature,mean_abs_shap,relative_shap,total_mean_abs_shap
enigma,epilepsy_rtle,Micro-PVM,0.021036908063743878,0.03394672135542331,0.6197036775212177
enigma,epilepsy_rtle,OPC,0.03320334492912872,0.053579389849581605,0.6197036775212177
enigma,epilepsy_rtle,Oligo,0.014268068656926284,0.02302401805004258,0.6197036775212177
enigma,epilepsy_rtle,Pax6,0.020202379102992798,0.03260006328153684,0.6197036775212177
enigma,epilepsy_rtle,Pvalb,0.011716666561007501,0.018906885639074396,0.6197036775212177
enigma,epilepsy_rtle,Sncg,0.016382334476693183,0.02643575481465862,0.6197036775212177
enigma,epilepsy_rtle,Sst,0.0172421376752943,0.0278231972807745,0.6197036775212177
enigma,epilepsy_rtle,Sst Chodl,0.013877603851626076,0.02239393496442649,0.6197036775212177
enigma,epilepsy_rtle,VLMC,0.009977866030560173,0.016101027624155977,0.6197036775212177
enigma,epilepsy_rtle,Vip,0.03839829049160024,0.061962340848438074,0.6197036775212177
enigma,epilepsy_ltle,Astro,0.013309622549357006,0.019315874467722205,0.6890509964536191
enigma,epilepsy_ltle,Chandelier,0.02523186585745076,0.03661828513029245,0.6890509964536191
enigma,epilepsy_ltle,Endo,0.0063198019489699156,0.009171747782814954,0.6890509964536191
enigma,epilepsy_ltle,L2/3 IT,0.007861327458676591,0.011408919657814829,0.6890509964536191
enigma,epilepsy_ltle,L4 IT,0.010092653181533502,0.014647178849574236,0.6890509964536191
enigma,epilepsy_ltle,L5 ET,0.037588277242869055,0.05455079150357076,0.6890509964536191
enigma,epilepsy_ltle,L5 IT,0.026559545732440026,0.03854510895294494,0.6890509964536191
enigma,epilepsy_ltle,L5/6 NP,0.018762699259005897,0.02722976870445443,0.6890509964536191
enigma,epilepsy_ltle,L6 CT,0.025088834697314245,0.03641070809916898,0.6890509964536191
enigma,epilepsy_ltle,L6 IT,0.054970706533910424,0.07977741388784215,0.6890509964536191
enigma,epilepsy_ltle,L6 IT Car3,0.008717847392778231,0.012651962536368003,0.6890509964536191
enigma,epilepsy_ltle,L6b,0.07724251172615894,0.11209984765091074,0.6890509964536191
enigma,epilepsy_ltle,Lamp5,0.027710216444862913,0.04021504444153013,0.6890509964536191
enigma,epilepsy_ltle,Lamp5_Lhx6,0.06467657345519418,0.09386326090241368,0.6890509964536191
enigma,epilepsy_ltle,Micro-PVM,0.02150080679130126,0.0312035058391335,0.6890509964536191
enigma,epilepsy_ltle,OPC,0.024276668108413113,0.03523203396172319,0.6890509964536191
enigma,epilepsy_ltle,Oligo,0.03137039455749375,0.0455269562324845,0.6890509964536191
enigma,epilepsy_ltle,Pax6,0.0436755053760561,0.06338501156060072,0.6890509964536191
enigma,epilepsy_ltle,Pvalb,0.018775984530639757,0.027249049239135077,0.6890509964536191
