branch,layer,ctype,correlation,p_value,reject_H0,p_adjusted
within_layer__clr_false__thickness_relative,l3,L6 IT Car3,0.27134802964593446,0.17482517482517482,False,0.5652680652680652
within_layer__clr_false__thickness_relative,l3,L6b,0.29959253313394435,0.2097902097902098,False,0.606336520622235
within_layer__clr_false__thickness_relative,l3,Lamp5,0.10061606901054765,0.5674325674325674,False,0.8305979734551163
within_layer__clr_false__thickness_relative,l3,Lamp5_Lhx6,0.2548326012936139,0.2887112887112887,False,0.7001248751248752
within_layer__clr_false__thickness_relative,l3,Micro-PVM,-0.12563161790831373,0.6213786213786214,False,0.8489257221651589
within_layer__clr_false__thickness_relative,l3,OPC,-0.23420985358549765,0.4075924075924076,False,0.7956254272043746
within_layer__clr_false__thickness_relative,l3,Oligo,-0.001217777412732691,0.995004995004995,False,0.995004995004995
within_layer__clr_false__thickness_relative,l3,Pax6,-0.06693590627867912,0.8321678321678322,False,0.9496503496503497
within_layer__clr_false__thickness_relative,l3,Pvalb,-0.2000926242929062,0.37462537462537465,False,0.7899708986665509
within_layer__clr_false__thickness_relative,l3,Sncg,0.1509628021002008,0.4385614385614386,False,0.7956254272043746
within_layer__clr_false__thickness_relative,l3,Sst,0.384828503203568,0.061938061938061936,False,0.3606948606948607
within_layer__clr_false__thickness_relative,l3,Vip,0.39708428863994905,0.08591408591408592,False,0.36233331885505804
within_layer__clr_false__thickness_relative,l4,Astro,0.17612060724106668,0.5974025974025974,False,0.8305979734551163
within_layer__clr_false__thickness_relative,l4,Chandelier,0.008726285978327253,0.974025974025974,False,0.9945317840054683
within_layer__clr_false__thickness_relative,l4,Endo,-0.03717407502834491,0.8621378621378621,False,0.9612341681307198
within_layer__clr_false__thickness_relative,l4,L2/3 IT,0.5001501512093417,0.06693306693306693,False,0.3606948606948607
within_layer__clr_false__thickness_relative,l4,L4 IT,0.3576958510263252,0.3386613386613387,False,0.7598083734447371
within_layer__clr_false__thickness_relative,l4,L5 ET,0.33431405393248365,0.15584415584415584,False,0.5433495076352219
