branch,layer,ctype,r_obs,p_value,n_perm_used,p_adjusted,reject_H0,p_value_original,unique_mismatch_extreme_count,n_unique_mismatch
within_layer__clr_false__thickness_absolute,l5,Micro-PVM,0.6642011295934539,0.3333333333333333,600,0.9509803921568626,False,0.2013311148086522,1,5
within_layer__clr_false__thickness_absolute,l5,OPC,0.5634367765067669,0.5,600,0.9509803921568626,False,0.4009983361064891,2,5
within_layer__clr_false__thickness_absolute,l5,Oligo,0.116195675421542,0.3333333333333333,600,0.9509803921568626,False,0.2013311148086522,1,5
within_layer__clr_false__thickness_absolute,l5,Pvalb,0.5955485418335174,0.5,600,0.9509803921568626,False,0.4009983361064891,2,5
within_layer__clr_false__thickness_absolute,l5,Sst,0.2836699328777342,0.6666666666666666,600,0.9509803921568626,False,0.6006655574043261,3,5
within_layer__clr_false__thickness_absolute,l5,Vip,0.5133732061993719,0.5,600,0.9509803921568626,False,0.4009983361064891,2,5
within_layer__clr_false__thickness_absolute,l6,Astro,0.6941452492911968,0.16666666666666666,600,0.9509803921568626,False,0.0016638935108153,0,5
within_layer__clr_false__thickness_absolute,l6,Chandelier,0.6538695040628534,0.16666666666666666,600,0.9509803921568626,False,0.0016638935108153,0,5
within_layer__clr_false__thickness_absolute,l6,Endo,0.4489726230508563,0.16666666666666666,600,0.9509803921568626,False,0.0016638935108153,0,5
within_layer__clr_false__thickness_absolute,l6,L5 ET,-0.4306001732250248,0.8333333333333334,600,0.9623015873015874,False,0.800332778702163,4,5
within_layer__clr_false__thickness_absolute,l6,L5 IT,-0.7942899964849963,1.0,600,1.0,False,1.0,5,5
within_layer__clr_false__thickness_absolute,l6,L5/6 NP,-0.4679607178236511,0.6666666666666666,600,0.9509803921568626,False,0.6006655574043261,3,5
within_layer__clr_false__thickness_absolute,l6,L6 CT,-0.6331523735205236,0.8333333333333334,600,0.9623015873015874,False,0.800332778702163,4,5
within_layer__clr_false__thickness_absolute,l6,L6 IT,-0.2884861761832201,0.8333333333333334,600,0.9623015873015874,False,0.800332778702163,4,5
within_layer__clr_false__thickness_absolute,l6,L6 IT Car3,0.0011801223603891,0.5,600,0.9509803921568626,False,0.4009983361064891,2,5
within_layer__clr_false__thickness_absolute,l6,L6b,-0.2319669658983484,0.6666666666666666,600,0.9509803921568626,False,0.6006655574043261,3,5
within_layer__clr_false__thickness_absolute,l6,Lamp5,0.6080880559818798,0.16666666666666666,600,0.9509803921568626,False,0.0016638935108153,0,5
within_layer__clr_false__thickness_absolute,l6,Lamp5_Lhx6,0.5893006221634498,0.16666666666666666,600,0.9509803921568626,False,0.0016638935108153,0,5
within_layer__clr_false__thickness_absolute,l6,Micro-PVM,0.7881092947121978,0.16666666666666666,600,0.9509803921568626,False,0.0016638935108153,0,5
within_layer__clr_false__thickness_absolute,l6,OPC,0.6827123149073949,0.16666666666666666,600,0.9509803921568626,False,0.0016638935108153,0,5
within_layer__clr_false__thickness_absolute,l6,Oligo,0.6015298371058003,0.16666666666666666,600,0.9509803921568626,False,0.0016638935108153,0,5
within_layer__clr_false__thickness_absolute,l6,Pvalb,0.4005000113911967,0.16666666666666666,600,0.9509803921568626,False,0.0016638935108153,0,5
within_layer__clr_false__thickness_absolute,l6,Sst,0.260329406346391,0.3333333333333333,600,0.9509803921568626,False,0.2013311148086522,1,5
within_layer__clr_false__thickness_relative,l1,Astro,-0.0423695639271456,0.8333333333333334,600,0.9509803921568628,False,0.800332778702163,4,5
within_layer__clr_false__thickness_relative,l1,Endo,-0.0322669699633249,0.6666666666666666,600,0.9509803921568628,False,0.6006655574043261,3,5
within_layer__clr_false__thickness_relative,l1,Lamp5,0.1889718400210267,0.5,600,0.9509803921568628,False,0.4009983361064891,2,5
within_layer__clr_false__thickness_relative,l1,Micro-PVM,0.0262647004663653,0.6666666666666666,600,0.9509803921568628,False,0.6006655574043261,3,5
within_layer__clr_false__thickness_relative,l1,OPC,0.1415679122078961,0.5,600,0.9509803921568628,False,0.4009983361064891,2,5
within_layer__clr_false__thickness_relative,l1,Pax6,-0.0807123416140349,0.8333333333333334,600,0.9509803921568628,False,0.800332778702163,4,5
within_layer__clr_false__thickness_relative,l1,Sncg,0.5123154804499123,0.16666666666666666,600,0.898148148148148,False,0.0016638935108153,0,5
within_layer__clr_false__thickness_relative,l1,VLMC,0.0230354518751918,0.5,600,0.9509803921568628,False,0.4009983361064891,2,5
within_layer__clr_false__thickness_relative,l2,Astro,0.0104494907413522,0.6666666666666666,600,0.9509803921568628,False,0.6006655574043261,3,5
